misconception_id,misconception,tweet_id,label
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.2339863603123036e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339757449902408e+18,na
38,Shaking hands cannot spread coronavirus.,1.2339943083840184e+18,na
16,Acetic acid is effective against coronavirus.,1.2339838021391852e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.233927685774037e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339621969060045e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339341110324797e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339828467186196e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339281277152338e+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.233949547715584e+18,na
17,Avocado and mint tea cures coronavirus.,1.2339729430483354e+18,na
36,Chloroquine can cure coronavirus,1.2339547190867313e+18,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,1.2339324656114606e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339940352300564e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339509483486618e+18,na
49,We're very close to a vaccine.,1.2339898148248986e+18,na
28,Using namaste as a greeting prevents transmission of covid-19.,1.2339716798622433e+18,na
38,Shaking hands cannot spread coronavirus.,1.233933368569385e+18,na
3,Coronavirus is genetically engineered.,1.2339585233120174e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.2339730887374725e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.2339378362122117e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.233907998667559e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.233977863595905e+18,na
3,Coronavirus is genetically engineered.,1.2339833264923607e+18,na
7,Boiled ginger can cure coronavirus.,1.233987012224381e+18,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.233936126185898e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.233971314500784e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339108847889285e+18,na
33,Eating cabbage prevents coronavirus infection.,1.23395121809698e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339903677850173e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339270486509896e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339561997641523e+18,neg
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.2339272397181993e+18,na
9,Africans are more resistant to coronavirus.,1.2339226449965711e+18,na
10,Coronavirus is caused by 5G.,1.2339274361124086e+18,na
13,Whiskey and honey cure coronavirus.,1.233946648746713e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.233958681844183e+18,na
40,Cannabis protects against COVID-19.,1.2339816718228316e+18,na
19,Vitamin C cures coronavirus.,1.2339738706144707e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339899295809167e+18,na
36,Chloroquine can cure coronavirus,1.2339706544389857e+18,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1.2339631976039465e+18,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.2339244422811853e+18,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1.233969662171517e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339886504272445e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.2339051610195436e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.233943062881149e+18,na
3,Coronavirus is genetically engineered.,1.2339302952058798e+18,pos
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.2339262343437066e+18,na
12,Methanol consumption cures or protects against coronavirus.,1.2339666971299267e+18,na
39,Salt water protects from coronavirus.,1.2339066579246572e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.2339896435504988e+18,na
7,Boiled ginger can cure coronavirus.,1.233917798361043e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339202433004708e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339107946826834e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339706403669197e+18,na
43,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1.2339450708160225e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339094127226266e+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.2339611673635635e+18,na
10,Coronavirus is caused by 5G.,1.2339461997716644e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.2339315974281994e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.2339229662928773e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339338427398676e+18,na
10,Coronavirus is caused by 5G.,1.2339646914471404e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339863124508918e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.233952855960236e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339645259149025e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.233948574993404e+18,na
28,Using namaste as a greeting prevents transmission of covid-19.,1.2339455794299904e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.2339936882982461e+18,pos
5,The first person infected is a researcher named Huang Yanling.,1.2339274348833546e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339068720481116e+18,na
15,Coronavirus can only survive in cold temperatures.,1.2339769800825897e+18,pos
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.2339187925745213e+18,na
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.2339315283270902e+18,na
38,Shaking hands cannot spread coronavirus.,1.233947984435376e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339534449536737e+18,na
3,Coronavirus is genetically engineered.,1.2339049292422185e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.2339796473580544e+18,na
54,The Simpsons predicted COVID-19 pandemic.,1.2339335777561068e+18,na
37,Jamaat cannot become a source of infection.,1.2339237568477962e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339304141855416e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.233921165040726e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.2339201006730609e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339353882779116e+18,na
20,Vitamin D cures coronavirus.,1.2339518619352064e+18,na
42,Vitamin D pills prevent COVID-19.,1.2339775755102822e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339835700222075e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.2339784421624013e+18,na
16,Acetic acid is effective against coronavirus.,1.2339058902117908e+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339150433744118e+18,na
10,Coronavirus is caused by 5G.,1.2339626036988928e+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.2339063797836554e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.2339803385498706e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339130398726554e+18,na
19,Vitamin C cures coronavirus.,1.2339521590052332e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339486722383544e+18,na
7,Boiled ginger can cure coronavirus.,1.233907264643326e+18,na
21,Fennel tea cures coronavirus.,1.2339238945258865e+18,na
20,Vitamin D cures coronavirus.,1.2339224545709834e+18,na
33,Eating cabbage prevents coronavirus infection.,1.2339091917538877e+18,na
38,Shaking hands cannot spread coronavirus.,1.2339280260662764e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.233953169991983e+18,na
16,Acetic acid is effective against coronavirus.,1.2339336565923963e+18,na
3,Coronavirus is genetically engineered.,1.2339411234138644e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.23398132580531e+18,neg
10,Coronavirus is caused by 5G.,1.2339206585615852e+18,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1.2339074917271224e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339856017807483e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.2339562039669473e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.233949693207597e+18,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.2339408323459727e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.233942689390809e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.23395356994807e+18,neg
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.2339788328074527e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339105077377966e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339244982835405e+18,na
9,Africans are more resistant to coronavirus.,1.233906926125187e+18,na
16,Acetic acid is effective against coronavirus.,1.2339666908678513e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.2339854744121713e+18,na
3,Coronavirus is genetically engineered.,1.2339808536146084e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.233925838862721e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.2339137097617244e+18,pos
9,Africans are more resistant to coronavirus.,1.2339177658046874e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339522292179272e+18,na
13,Whiskey and honey cure coronavirus.,1.233921206664872e+18,na
22,Cocaine cures coronavirus.,1.233956340780933e+18,na
62,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,1.2339619771370578e+18,na
18,Essential oils cure coronavirus.,1.2339270249280676e+18,na
54,The Simpsons predicted COVID-19 pandemic.,1.2339449882134446e+18,na
41,CBD oil is a cure for COVID-19.,1.233939369570046e+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.2339166648167875e+18,na
15,Coronavirus can only survive in cold temperatures.,1.2339753643655619e+18,na
38,Shaking hands cannot spread coronavirus.,1.2339635997916406e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339717069660078e+18,na
48,There will be 500 deaths at the end of the pandemic.,1.2339128047652454e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339181858811945e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.2339599355343421e+18,na
3,Coronavirus is genetically engineered.,1.2339842200344125e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.23395453845495e+18,pos
3,Coronavirus is genetically engineered.,1.2339471856974807e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339079705067725e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339632918709903e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.2339917851158364e+18,na
20,Vitamin D cures coronavirus.,1.23390840288521e+18,na
40,Cannabis protects against COVID-19.,1.2339404669633208e+18,na
48,There will be 500 deaths at the end of the pandemic.,1.2339164486717809e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339287382465126e+18,na
33,Eating cabbage prevents coronavirus infection.,1.2339509415748854e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.233935472704901e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.233989939714347e+18,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.2339482765604536e+18,na
33,Eating cabbage prevents coronavirus infection.,1.2339292569604956e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.2339063193561334e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339622440958976e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.2339705571982254e+18,na
3,Coronavirus is genetically engineered.,1.2339304623615304e+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339398878140375e+18,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.2339598690252636e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.233993561294725e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.2339087186113782e+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.2339700022370877e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339821940051067e+18,na
12,Methanol consumption cures or protects against coronavirus.,1.2339517335184138e+18,na
29,Clapping will kill coronavirus.,1.233952666222461e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.233978573142315e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339578295533363e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.2339856370422825e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339365661685637e+18,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.2339227025426227e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.2339935817629286e+18,pos
17,Avocado and mint tea cures coronavirus.,1.2339927616464855e+18,na
24,Coronavirus is cured by shuanghuanglian.,1.2339817797380055e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.2339818888611308e+18,na
15,Coronavirus can only survive in cold temperatures.,1.233939538495578e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339871123132047e+18,na
3,Coronavirus is genetically engineered.,1.2339245537112596e+18,pos
17,Avocado and mint tea cures coronavirus.,1.23396236280311e+18,na
3,Coronavirus is genetically engineered.,1.2339601084026511e+18,na
21,Fennel tea cures coronavirus.,1.2339069896646328e+18,na
3,Coronavirus is genetically engineered.,1.2339380361503252e+18,pos
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339500443085496e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339459714924503e+18,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,1.2339713724031754e+18,na
20,Vitamin D cures coronavirus.,1.233942556909744e+18,na
48,There will be 500 deaths at the end of the pandemic.,1.2339614203138417e+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.233917274387624e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.2339672692118528e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.2339611477636547e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339063193561334e+18,na
20,Vitamin D cures coronavirus.,1.2339949166293647e+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339493472823255e+18,na
36,Chloroquine can cure coronavirus,1.23393445723895e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339837006578975e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.233926029405614e+18,na
14,Hand sanitiser sold commercially does not destroy the coronavirus.,1.2339778759103652e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339926848025395e+18,neg
19,Vitamin C cures coronavirus.,1.2339067466468434e+18,na
62,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,1.233952408537092e+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.23391274627994e+18,pos
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.2339875255779901e+18,na
9,Africans are more resistant to coronavirus.,1.2339521456254894e+18,na
13,Whiskey and honey cure coronavirus.,1.2339313119973417e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339402178888335e+18,na
16,Acetic acid is effective against coronavirus.,1.233958258647298e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339708998013706e+18,na
9,Africans are more resistant to coronavirus.,1.2339797679736955e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.2339284431187354e+18,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.233974859237077e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339917957024522e+18,pos
60,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.2339516791809925e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.233992313883562e+18,na
34,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.233960534640386e+18,na
13,Whiskey and honey cure coronavirus.,1.2339294459556495e+18,na
10,Coronavirus is caused by 5G.,1.2339924178476728e+18,na
36,Chloroquine can cure coronavirus,1.2339459409243218e+18,na
15,Coronavirus can only survive in cold temperatures.,1.233922570153382e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339181894169846e+18,pos
18,Essential oils cure coronavirus.,1.233970966369194e+18,na
36,Chloroquine can cure coronavirus,1.233912348705878e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339700294499287e+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339573620561674e+18,na
29,Clapping will kill coronavirus.,1.233912353898414e+18,na
46,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,1.2339242918608773e+18,na
29,Clapping will kill coronavirus.,1.233920784025809e+18,na
57,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.2339276223689236e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339525990128067e+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.233950805499183e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.233912768845222e+18,na
48,There will be 500 deaths at the end of the pandemic.,1.2339641046556344e+18,na
3,Coronavirus is genetically engineered.,1.233979722486313e+18,na
29,Clapping will kill coronavirus.,1.2339295288520745e+18,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.2339842541213983e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339436465017733e+18,na
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.2339654127501025e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339226187739832e+18,na
39,Salt water protects from coronavirus.,1.2339577619326444e+18,na
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.233913167501095e+18,na
19,Vitamin C cures coronavirus.,1.2339238945258865e+18,na
12,Methanol consumption cures or protects against coronavirus.,1.2339576311500186e+18,na
15,Coronavirus can only survive in cold temperatures.,1.233986613493076e+18,na
15,Coronavirus can only survive in cold temperatures.,1.2339533561769697e+18,na
19,Vitamin C cures coronavirus.,1.233947734094291e+18,na
2,Drinking large amounts of water will protect against coronavirus.,1.2339501111405814e+18,na
3,Coronavirus is genetically engineered.,1.2339240597521695e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.2339227604532142e+18,na
16,Acetic acid is effective against coronavirus.,1.2339569382426747e+18,na
2,Drinking large amounts of water will protect against coronavirus.,1.2339508108889498e+18,na
36,Chloroquine can cure coronavirus,1.2339708592552223e+18,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1.233969186646319e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339052384924467e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.233925824702632e+18,na
49,We're very close to a vaccine.,1.233937593462657e+18,na
49,We're very close to a vaccine.,1.233971867540697e+18,na
16,Acetic acid is effective against coronavirus.,1.2339511378599813e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339521040306545e+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.23e+18,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.2339895507221668e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.2339307933674578e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.23395437342174e+18,pos
3,Coronavirus is genetically engineered.,1.2339698804932608e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339275762901975e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.233974430943961e+18,na
8,Vitamin C can prevent coronavirus circulation.,1.2339840579411845e+18,na
51,COVID-19 is only as deadly as the seasonal flu.,1.2339484072549212e+18,neg
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339472244444733e+18,na
40,Cannabis protects against COVID-19.,1.233936307858047e+18,na
13,Whiskey and honey cure coronavirus.,1.2339921689785795e+18,na
56,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.2339112812388475e+18,na
5,The first person infected is a researcher named Huang Yanling.,1.2339627695289385e+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.2339463521926472e+18,pos
32,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.233939046059139e+18,na
45,Alex Jones' silver-infused toothpaste kills COVID-19,1.2339597031111967e+18,na
61,Lions were freed to keep people off the streets in Moscow.,1.2339423582421197e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.233914965670736e+18,na
47,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1.2339068623548867e+18,na
15,Coronavirus can only survive in cold temperatures.,1.2339817713745265e+18,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.2339838632081859e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.2339129732630815e+18,na
58,Water polution decreased in Venice canals following COVID-19 lockdown.,1.233949598936232e+18,na
11,Viruses are wastes from cells that are poisoned by electromagnetic fields.,1.2339634954664714e+18,na
28,Using namaste as a greeting prevents transmission of covid-19.,1.233955449730257e+18,na
52,Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.2339250561720443e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.2339187264052838e+18,na
37,Jamaat cannot become a source of infection.,1.2339664171769405e+18,na
44,Jim Bakker's colloidal silver solution is a remedy for COVID-19.,1.2339856350667448e+18,na
40,Cannabis protects against COVID-19.,1.2339273640247788e+18,na
42,Vitamin D pills prevent COVID-19.,1.2339899295809167e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339278184609628e+18,na
59,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.233905713019269e+18,na
26,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.233926029405614e+18,na
36,Chloroquine can cure coronavirus,1.2339209606606807e+18,na
4,Dean Koontz predicted the pandemic in his 1981 novel The Eyes of Darkness.,1.2339682213400207e+18,pos
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.233952077690196e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339680826342318e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339386531575808e+18,na
2,Drinking large amounts of water will protect against coronavirus.,1.2339875529919406e+18,pos
1,A person can tell if they have coronavirus or not simply by holding their breath.,1.233906580976001e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.2339628512509542e+18,na
42,Vitamin D pills prevent COVID-19.,1.2339831718401516e+18,na
37,Jamaat cannot become a source of infection.,1.233938496982745e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.2339616402167808e+18,na
53,"There were more than 50000 cremations in Wuhan for 4th Quarter, 2019 .",1.233924053695488e+18,na
27,Drinking cow urine and applying cow dung on the body can cure covid-19.,1.233920123183829e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339692870369567e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.2339295624274493e+18,na
3,Coronavirus is genetically engineered.,1.233952907239809e+18,na
7,Boiled ginger can cure coronavirus.,1.2339298081758659e+18,na
39,Salt water protects from coronavirus.,1.2339615293236388e+18,na
62,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,1.233971639857111e+18,na
50,It is safe for individuals infected with COVID-19 to go to work.,1.2339107946826834e+18,na
23,SARS-CoV-2 can survive for weeks on surfaces.,1.233983880308437e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.233913951940944e+18,na
25,Holy communion cannot be the cause of the spread of coronavirus,1.2339925793830134e+18,neg
23,SARS-CoV-2 can survive for weeks on surfaces.,1.233981292930306e+18,neg
29,Clapping will kill coronavirus.,1.2339195168051282e+18,na
31,The lifetime of SARS-CoV-2 is only 12 hours.,1.233962482563195e+18,na
6,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.233972622486098e+18,na
55,Drinking Corona-brand beer causes COVID-19.,1.2339185797933752e+18,na
35,Wearing shoes at one's home is the reason behind the spread of the coronavirus in italy.,1.2339281464050975e+18,na
40,Cannabis protects against COVID-19.,1.2339231626282926e+18,na
30,Blowing conch shells destroys coronavirus potency.,1.233913645198971e+18,na
